#,編號,服務中心,類別,名稱,上課日期,時間,逢星期,堂數,戶外上課,上課地點,課室,上限,收費,導師,操作
170,SIC250168,山景服務處|(S),興趣班組|(IC),英文精讀班|(SIC250168),2025-07-19 (開始)|2025-08-09 (結束),09:30 (開始)|10:30 (結束),六,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,活動室|(SK3),7 人,$240.00 (課程)|$340.00 (非會員)|,,學生數: 1
171,SIC250167,山景服務處|(S),興趣班組|(IC),懷舊國語金曲班|(SIC250167),2025-06-25 (開始)|2025-08-20 (結束),16:30 (開始)|18:00 (結束),三,8 (堂數)|1 (停課)|1 小時 30 分 (時長)|,,,禮堂|(SK1),30 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 16
172,SIC250166,山景服務處|(S),興趣班組|(IC),(新生)(只限仁濟幼稚園)Jolly Phonics兒童英文拼音課程(第六期)|(SIC250166),2025-06-12 (開始)|2025-09-18 (結束),16:30 (開始)|17:30 (結束),四,6 (堂數)|9 (停課)|1 小時 0 分 (時長)|,,,仁濟幼稚園|(SK5),1 人,$530.00 (課程)|$630.00 (非會員)|,,學生數: 1
173,SIC250165,山景服務處|(S),興趣班組|(IC),忘憂鼓|(SIC250165),2025-08-13 (開始)|2025-11-05 (結束),14:00 (開始)|15:00 (結束),三,10 (堂數)|3 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),15 人,$500.00 (課程)|$600.00 (非會員)|,,學生數: 11
174,SIC250164,山景服務處|(S),興趣班組|(IC),中國水墨畫|(SIC250164),2025-07-22 (開始)|2025-09-09 (結束),10:00 (開始)|11:30 (結束),二,8 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),8 人,$400.00 (課程)|$500.00 (非會員)|,,學生數: 6
175,SIC250163,山景服務處|(S),興趣班組|(IC),課餘託管A(P1-P3)|(SIC250163),2025-06-02 (開始)|2025-06-30 (結束),16:00 (開始)|17:30 (結束),"一, 二, 三, 四, 五",21 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),2 人,"$1,500.00 (課程)|$1,600.00 (非會員)|",,學生數: 2
176,SIC250162,山景服務處|(S),興趣班組|(IC),(個別)課餘託管A(P1-P3)|(SIC250162),2025-06-02 (開始)|2025-06-30 (結束),16:00 (開始)|17:30 (結束),"一, 二, 三, 四, 五",21 (堂數)|0 (停課)|1 小時 30 分 (時長)|,,,活動室|(SK3),6 人,"$2,000.00 (課程)|$2,100.00 (非會員)|",,學生數: 1
177,SIC250161,山景服務處|(S),興趣班組|(IC),(孔俊軒)電鋼琴班(日)（12:00 - 12:30）|(SIC250161),2025-06-15 (開始)|2025-07-06 (結束),12:00 (開始)|12:30 (結束),日,4 (堂數)|0 (停課)|30 分 (時長)|,,,活動室|(SK3),1 人,$600.00 (課程)|$700.00 (非會員)|,,學生數: 1
178,SIC250160,山景服務處|(S),興趣班組|(IC),兒童武術班 |(SIC250160),2025-06-03 (開始)|2025-06-24 (結束),17:00 (開始)|18:00 (結束),二,4 (堂數)|0 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),10 人,$300.00 (課程)|$400.00 (非會員)|,,學生數: 4
179,SIC250159,山景服務處|(S),興趣班組|(IC),府內派42式簡化太極拳|(SIC250159),2025-06-12 (開始)|2025-07-10 (結束),09:00 (開始)|10:00 (結束),"二, 四",8 (堂數)|1 (停課)|1 小時 0 分 (時長)|,,,禮堂|(SK1),20 人,$200.00 (課程)|$300.00 (非會員)|,,學生數: 17
